Equation_ID,Real Equation,Predicted Equation,Error,Time Taken
II.11.3,q*Ef/(m*(omega_0**2-omega**2)),,0,0
II.11.17,n_0*(1+p_d*Ef*cos(theta)/(kb*T)),,0,0
II.11.20,n_rho*p_d**2*Ef/(3*kb*T),,0,0
II.11.27,n*alpha/(1-(n*alpha/3))*epsilon*Ef,,0,0
II.11.28,1+n*alpha/(1-(n*alpha/3)),,0,0
II.13.17,1/(4*pi*epsilon*c**2)*2*I/r,,0,0
II.13.23,rho_c_0/sqrt(1-v**2/c**2),,0,0
II.13.34,rho_c_0*v/sqrt(1-v**2/c**2),,0,0
II.15.4,#NAME?,,0,0
II.15.5,#NAME?,,0,0
II.21.32,q/(4*pi*epsilon*r*(1-v/c)),,0,0
II.24.17,sqrt(omega**2/c**2-pi**2/d**2),,0,0
II.27.16,epsilon*c*Ef**2,,0,0
II.27.18,epsilon*Ef**2,,0,0
II.34.2a,q*v/(2*pi*r),,0,0
