Weight,Predicted Equation,MSE,Truth Error,Time Taken
0.25,"div(square(ARG0), add(ARG0, ARG0))",4041.514694322608,116.80959351853008,567.2598035335541
0.25,"sqrt(mul(div(add(ARG0, ARG0), ARG0), add(ARG1, ARG0)))",8236.110982009497,13.841153967478451,624.3205380439758
0.25,"add(sqrt(add(ARG0, ARG0)), sqrt(ARG1))",7272.354841030845,14.658343623537114,512.5833582878113
0.25,"div(mul(ARG1, ARG0), add(ARG1, ARG0))",3.8163539065429353e-28,0.0,48.92894673347473
0.25,"div(mul(ARG1, ARG0), add(ARG0, ARG1))",3.8163539065429353e-28,0.0,41.98489332199097
0.25,"add(sqrt(add(sqrt(mul(ARG1, ARG0)), ARG0)), sqrt(ARG1))",7272.175207695796,12.188220917545115,408.0885956287384
0.25,"add(sqrt(add(ARG1, ARG1)), sqrt(ARG0))",7265.410162305565,14.284870827520214,462.5348415374756
0.25,"div(mul(ARG0, ARG1), add(ARG1, ARG0))",3.8163539065429353e-28,0.0,47.90945291519165
0.25,"div(ARG1, sqrt(sqrt(ARG1)))",4015.0209716906647,48.400545650973676,942.4504113197327
0.25,"div(add(ARG1, ARG1), sqrt(ARG1))",8324.500897945782,20.02301474096839,606.1774311065674
0.25,"add(sqrt(square(sqrt(ARG0))), sqrt(ARG1))",8284.103556218915,10.01939868720564,346.1458213329315
0.25,"sqrt(add(add(ARG1, add(add(ARG1, ARG0), ARG0)), ARG0))",7655.7505298987835,17.289601530450398,448.9221978187561
0.25,"add(sqrt(ARG1), sqrt(ARG0))",8284.103556218915,10.01939868720564,378.1522889137268
0.25,"div(mul(ARG0, ARG1), add(ARG0, ARG1))",3.8163539065429353e-28,0.0,21.286229848861694
0.25,"sqrt(add(add(ARG0, ARG1), add(add(ARG0, ARG1), ARG1)))",7648.345437253715,17.109227947417757,386.83492040634155
