Weight,Predicted Equation,MSE,Truth Error,Time Taken
0,"mul(ARG0, sub(ARG0, ARG0))",44478677360.53497,0.0,891.4657502174377
0,"add(ARG2, mul(ARG1, ARG2))",44478839444.05306,0.0,1000.9071357250214
0,"add(div(ARG2, ARG1), div(ARG2, ARG1))",44478677463.89189,0.0,1086.6595525741577
0,"sub(sub(ARG0, ARG1), div(ARG0, ARG1))",44477072405.21127,0.0,901.0190327167511
0,"mul(div(ARG1, ARG2), div(ARG0, ARG2))",1.6677685242397428e-21,0.0,427.5815215110779
0,"div(ARG2, ARG2)",44478689745.25198,0.0,2268.4735124111176
0,"mul(ARG0, ARG0)",44508904578.763596,0.0,801.872631072998
0,"mul(div(ARG2, ARG2), mul(ARG0, ARG2))",44478789571.608604,0.0,1009.8104891777039
0,"add(ARG2, ARG2)",44478678112.11043,0.0,856.4567713737488
0,"mul(div(ARG0, ARG2), div(ARG1, ARG2))",1.6677685242397428e-21,0.0,88.1386923789978
0,"mul(div(ARG2, ARG2), mul(ARG1, ARG2))",44478839269.11587,0.0,908.5759475231171
0,"add(ARG1, ARG0)",44479489467.264854,0.0,839.8325576782227
0,"div(ARG2, ARG2)",44478689745.25198,0.0,982.6451201438904
0,"add(ARG1, ARG1)",44481183863.36455,0.0,882.9358406066895
0,"add(sub(ARG2, ARG0), div(ARG0, ARG1))",44479047310.44069,0.0,1052.7448086738586
