Weight,Predicted Equation,MSE,Truth Error,Time Taken
9000,"mul(ARG1, ARG0)",44348765500,0,172.3908439
9000,"div(ARG0, ARG2)",44447781111,63559708.3,312.2150366
9000,"mul(add(ARG0, ARG0), add(ARG0, ARG2))",44578755455,361634549.8,242.5076406
9000,"div(sub(ARG1, ARG0), div(ARG2, ARG0))",41484480403,4827608543,319.8833981
9000,"div(div(ARG1, ARG2), div(ARG2, ARG0))",3.97E-21,2.10E-06,892.9482172
9000,"mul(add(div(ARG2, ARG2), add(ARG2, ARG1)), add(add(ARG0, ARG0), div(ARG2, ARG0)))",44242369641,49927390.67,510.3759747
9000,"div(ARG0, ARG2)",44447781111,63559708.3,425.2000458
9000,"add(add(ARG2, ARG0), div(ARG0, ARG2))",44447348935,65887944.44,304.2233665
9000,"div(mul(ARG0, ARG1), mul(ARG2, ARG2))",4.07E-21,0,46.02086711
9000,"mul(ARG1, div(add(sub(ARG0, ARG0), div(ARG0, ARG2)), ARG2))",1.60E-21,2.10E-06,838.5113556
9000,"sub(mul(ARG1, ARG0), sub(ARG1, ARG2))",44347540530,2224405.485,227.9058888
9000,"mul(ARG1, ARG0)",44348765500,0,167.8599622
9000,"add(sub(sub(ARG2, ARG0), mul(mul(ARG1, ARG0), div(ARG2, ARG0))), mul(ARG1, ARG0))",44349352340,20977136.93,372.8338332
9000,"mul(ARG0, ARG1)",44348765500,0,206.0007424
9000,"mul(ARG1, ARG0)",44348765500,0,168.2530851
,,35316031435,363691959.1,347.1420172
