Weight,Predicted Equation,MSE,Truth Error,Time Taken
10,sqrt(square(ARG2)),5530.253630911847,6955.6272610533015,1190.1213910579681
10,"sqrt(square(sub(ARG2, ARG3)))",2877.2999732646663,5989.78876778322,2724.0786607265472
10,sqrt(square(ARG1)),5796.490406144053,6959.360213702098,1334.6253192424774
10,sqrt(square(ARG2)),5530.253630911847,6955.6272610533015,926.1600348949432
10,sqrt(square(ARG0)),5663.299569890765,6964.340405345503,1160.1336145401
10,sqrt(square(ARG3)),5667.646579571194,6951.555644692053,8599.714129209518
10,sqrt(square(ARG3)),5667.646579571194,6951.555644692053,1142.0859475135803
10,"sqrt(square(sub(sub(ARG3, ARG2), sqrt(ARG0))))",2872.3590339464795,[6389.30941978],1307.4442052841187
10,sqrt(square(ARG1)),5796.490406144053,6959.360213702098,1133.1232414245605
10,"sqrt(add(mul(ARG3, ARG3), sqrt(ARG2)))",5653.58722425733,6950.878007695483,1194.5320744514465
10,sqrt(square(ARG3)),5667.646579571194,6951.555644692053,1319.6820566654205
10,sqrt(square(ARG2)),5530.253630911847,6955.6272610533015,990.7846302986145
10,sqrt(square(ARG0)),5663.299569890765,6964.340405345503,1051.6089930534363
10,sqrt(square(ARG1)),5796.490406144053,6959.360213702098,1139.491397857666
10,"sqrt(square(sub(ARG2, ARG3)))",2877.2999732646663,5989.78876778322,2616.886922121048
