Weight,Predicted Equation,MSE,Truth Error,Time Taken
100000,"div(sub(ARG0, ARG1), sub(ARG1, ARG0))",359377807.6,0,484.5702841
100000,"mul(div(ARG0, ARG2), div(ARG1, ARG3))",9.48E-25,1.46E-06,55.03388715
100000,"div(sub(ARG3, ARG3), add(mul(ARG0, ARG1), ARG2))",359374940.6,0,348.8375471
100000,"mul(sub(div(ARG3, ARG2), mul(sub(ARG3, ARG2), sub(ARG3, ARG1))), sub(ARG0, ARG0))",359374940.6,0,124.9665136
100000,"div(add(add(ARG2, ARG1), mul(ARG3, ARG0)), sub(ARG2, ARG2))",359374940.6,0,150.2851994
100000,"div(sub(ARG1, ARG1), mul(div(div(ARG2, ARG3), add(ARG0, ARG3)), mul(ARG3, ARG3)))",359374940.6,0,145.9468446
100000,"div(div(div(ARG1, ARG1), div(ARG1, sub(div(ARG3, ARG3), add(div(ARG0, ARG2), ARG1)))), sub(ARG2, ARG2))",359374940.6,0,194.3964496
100000,"mul(ARG0, sub(ARG3, ARG3))",359374940.6,0,157.2986782
100000,"mul(mul(ARG2, sub(ARG3, ARG3)), ARG3)",359374940.6,0,130.6885529
100000,"mul(div(mul(ARG1, ARG3), sub(ARG2, ARG1)), sub(ARG1, ARG1))",359374940.6,0,179.2329431
100000,"div(sub(add(add(ARG0, ARG2), sub(ARG1, ARG1)), ARG2), sub(ARG0, ARG0))",359374940.6,0,628.2766945
100000,"mul(mul(div(add(ARG0, ARG2), sub(ARG2, ARG2)), sub(ARG2, ARG1)), sub(ARG1, ARG0))",359374940.6,0,108.1263247
100000,"mul(sub(ARG1, ARG1), sub(div(ARG2, ARG1), add(sub(ARG2, ARG3), ARG3)))",359374940.6,0,105.8688142
100000,"div(div(add(ARG1, mul(ARG3, ARG1)), add(ARG1, ARG3)), sub(ARG2, ARG2))",359374940.6,0,143.6093106
100000,"div(ARG2, sub(ARG1, ARG1))",359374940.6,0,106.5500462
,,335416802.4,9.70128E-08,204.2458727
