Weight,Predicted Equation,MSE,Truth Error,Time Taken
0,abs(ARG1),3241.998559,0,267.9187095
0,"abs(div(ARG1, ARG1))",0.663414713,0,592.2099049
0,"div(square(ARG1), add(ARG0, ARG0))",2648101.293,0,571.2471488
0,abs(ARG0),3325.658886,0,630.2120669
0,"div(sub(ARG0, ARG0), abs(ARG0))",0.120077515,0,597.6578031
0,"div(ARG0, ARG0)",0.663414713,0,690.835649
0,"sub(sub(ARG0, ARG0), abs(ARG0))",3362.421856,0,846.4274762
0,"div(abs(ARG0), mul(ARG1, ARG0))",0.139641846,0,841.4396248
0,"div(abs(ARG1), square(ARG0))",130237.056,0,711.0387528
0,"div(ARG1, ARG1)",0.663414713,0,670.9340277
0,abs(ARG1),3241.998559,0,554.350899
0,abs(ARG1),3241.998559,0,586.9301317
0,"div(mul(ARG0, ARG0), div(ARG0, ARG1))",10842014.41,0,698.5062253
0,"sub(ARG0, ARG0)",0.120077515,0,582.0003321
0,"abs(div(ARG0, ARG1))",192.1226949,0,627.3443735
,,9.09E+05,0.00E+00,6.18E+02
