Weight,Predicted Equation,MSE,Truth Error,Time Taken
1.2,"square(div(sub(ARG1, ARG0), add(ARG1, ARG0)))",5.22E-33,0,63.90805292
1.2,"abs(sub(ARG1, ARG0))",1630.694329,117.0380293,301.9505584
1.2,"sub(sub(ARG1, ARG0), div(ARG0, ARG1))",2171.872113,1617.796997,425.5247841
1.2,"abs(sub(ARG0, ARG1))",1630.694329,117.0380293,241.2880118
1.2,"sub(add(abs(ARG0), add(ARG0, ARG0)), div(square(ARG1), mul(ARG1, ARG0)))",31379.04758,2427.733342,406.0438092
1.2,"abs(add(ARG0, ARG0))",13339.03828,475.230604,220.8700314
1.2,"sub(sub(ARG1, ARG0), add(sub(ARG1, ARG1), div(ARG1, ARG0)))",2654.863004,1745.112423,404.5060163
1.2,"square(abs(add(abs(sub(ARG1, ARG0)), div(ARG1, ARG1))))",6798365.885,11886.66903,381.1179297
1.2,"mul(abs(ARG1), sub(ARG1, ARG0))",5785330.951,23629.47352,239.1481295
1.2,"add(sub(ARG1, ARG0), square(ARG0))",19704130.63,23642.26354,265.8332353
1.2,"sub(div(ARG1, ARG0), mul(ARG1, ARG0))",10838028.69,12485.04547,326.0627465
1.2,"abs(div(abs(ARG1), add(ARG0, ARG1)))",0.196484432,1.197242727,357.4507799
1.2,"abs(sub(ARG0, ARG1))",1630.694329,117.0380293,241.8507185
1.2,"abs(add(ARG1, ARG1))",13003.30221,475.1585961,272.8734286
1.2,abs(ARG0),3325.658886,237.015302,241.4890835
,,2879990.948,5280.719297,306.2618648
