Weight,Predicted Equation,MSE,Truth Error,Time Taken
0.25,"sub(ARG0, ARG0)",86.09485510344624,,5.140253305435181
0.25,"div(sin(ARG0), mul(ARG1, ARG0))",18.36293575257068,36.790972087713534,4.7792136669158936
0.25,"sin(mul(ARG0, ARG1))",85.23980197069521,164.60797488802325,5.05754828453064
0.25,"div(ARG0, ARG0)",81.90449072363721,0.0,3.692124366760254
0.25,"sub(div(ARG1, ARG1), sin(ARG0))",85.24718778302652,228.2603624255523,4.321478366851807
0.25,"sub(ARG0, ARG1)",82.80736046048533,65.58434217075526,6.111651659011841
0.25,"div(ARG0, ARG0)",81.90449072363721,0.0,5.612988710403442
0.25,"sin(sub(ARG0, ARG0))",86.09485510344624,,16.583679676055908
0.25,"sub(ARG0, ARG0)",86.09485510344624,,8.323735237121582
0.25,"div(add(ARG1, ARG0), add(ARG1, ARG0))",81.90449072363721,0.0,6.473683595657349
0.25,"sin(sub(ARG0, ARG0))",86.09485510344624,,14.341683387756348
0.25,"div(ARG1, ARG1)",81.90449072363721,0.0,10.772187948226929
0.25,"div(ARG0, ARG0)",81.90449072363721,0.0,14.437419414520264
0.25,"div(ARG1, ARG1)",81.90449072363721,0.0,5.125292062759399
0.25,"div(ARG0, ARG0)",81.90449072363721,0.0,12.209340572357178
